ubigeo,provincia,sick_elder,sick_infant
1001,HUANUCO,2,1
1002,AMBO,1,0
1003,DOS DE MAYO,0,0
1004,HUACAYBAMBA,0,0
1005,HUAMALIES,9,5
1006,LEONCIO PRADO,223,139
1007,MARAÑON,0,0
1008,PACHITEA,0,1
1009,PUERTO INCA,51,9
101,CHACHAPOYAS,2,2
102,BAGUA,220,166
103,BONGARA,0,0
104,CONDORCANQUI,35,29
106,RODRIGUEZ DE MENDOZA,0,0
107,UTCUBAMBA,161,122
1101,ICA,696,178
1102,CHINCHA,240,62
1103,NAZCA,101,96
1104,PALPA,126,40
1105,PISCO,101,40
1201,HUANCAYO,0,1
1203,CHANCHAMAYO,354,112
1205,JUNIN,0,0
1206,SATIPO,211,114
1301,TRUJILLO,755,294
1302,ASCOPE,145,74
1304,CHEPEN,155,61
1307,PACASMAYO,10,3
1308,PATAZ,13,5
1309,SANCHEZ CARRION,0,0
1311,GRAN CHIMU,2,0
1312,VIRU,26,6
1401,CHICLAYO,623,193
1402,FERREÑAFE,162,14
1403,LAMBAYEQUE,302,103
1501,LIMA,197,73
1505,CAÑETE,0,2
1506,HUARAL,0,0
1507,HUAROCHIRI,0,1
1601,MAYNAS,1995,4069
1602,ALTO AMAZONAS,565,462
1603,LORETO,74,78
1604,MARISCAL RAMON CASTILLA,34,41
1605,REQUENA,97,31
1606,UCAYALI,141,166
1607,DATEM DEL MARAÑON,50,42
1608,PUTUMAYO,17,16
1701,TAMBOPATA,847,858
1702,MANU,31,32
1703,TAHUAMANU,119,42
1801,MARISCAL NIETO,0,0
1903,OXAPAMPA,58,42
2001,PIURA,4009,1112
2002,AYABACA,24,3
2003,HUANCABAMBA,14,2
2004,MORROPON,1114,281
2005,PAITA,188,43
2006,SULLANA,1608,707
2007,TALARA,633,275
2008,SECHURA,181,51
201,HUARAZ,0,0
208,CASMA,203,47
2103,CARABAYA,5,1
211,HUARMEY,1,0
2112,SANDIA,1,0
215,PALLASCA,0,0
218,SANTA,211,30
2201,MOYOBAMBA,104,21
2202,BELLAVISTA,46,22
2203,EL DORADO,21,19
2204,HUALLAGA,34,5
2205,LAMAS,100,30
2206,MARISCAL CACERES,105,136
2207,PICOTA,34,20
2208,RIOJA,75,27
2209,SAN MARTIN,266,291
2210,TOCACHE,108,72
2401,TUMBES,950,402
2402,CONTRALMIRANTE VILLAR,130,99
2403,ZARUMILLA,254,143
2501,CORONEL PORTILLO,1349,1883
2502,ATALAYA,72,75
2503,PADRE ABAD,62,86
2504,PURUS,0,0
401,AREQUIPA,0,0
403,CARAVELI,0,0
501,HUAMANGA,0,2
502,CANGALLO,0,0
504,HUANTA,135,88
505,LA MAR,232,94
506,LUCANAS,0,0
507,PARINACOCHAS,0,0
508,PAUCAR DEL SARA SARA,1,0
509,SUCRE,1,0
601,CAJAMARCA,0,0
603,CELENDIN,0,0
604,CHOTA,2,0
605,CONTUMAZA,28,1
606,CUTERVO,13,4
607,HUALGAYOC,0,0
608,JAEN,575,374
609,SAN IGNACIO,64,22
611,SAN MIGUEL,0,0
613,SANTA CRUZ,0,0
701,CALLAO,0,0
801,CUSCO,0,0
804,CALCA,2,0
809,LA CONVENCION,377,136
811,PAUCARTAMBO,1,1
812,QUISPICANCHI,11,1
